,soc
31492500,0.99
31492560,0.99
31492620,0.99
31492680,0.99
31492740,0.99
31492800,0.99
31492860,0.92875
31492920,0.8675
31492980,0.80625
31493040,0.745
31493100,0.68375
31493160,0.6225
31493220,0.56125
31493280,0.5
31493340,0.43875
31493400,0.3775
31493460,0.31625
31493520,0.255
31493580,0.19375
31493640,0.1325
31493700,0.07125
31493760,0.01
31493820,0.01
31493880,0.01
31493940,0.01
31494000,0.01
31494060,0.01
31494120,0.01
31494180,0.01
31494240,0.01
31494300,0.01
31494360,0.01
31494420,0.01
31494480,0.01
31494540,0.01
31494600,0.01
31494660,0.01
31494720,0.01
31494780,0.01
31494840,0.01
31494900,0.01
31494960,0.01
31495020,0.01
31495080,0.01
31495140,0.01
31495200,0.01
31495260,0.01
31495320,0.01
31495380,0.01
31495440,0.01
31495500,0.01
31495560,0.01
31495620,0.01
31495680,0.01
31495740,0.01
31495800,0.01
31495860,0.01
31495920,0.01
31495980,0.01
31496040,0.01
31496100,0.01
31496160,0.01
31496220,0.01
31496280,0.01
31496340,0.01
